Shipment_ID,Origin,Destination,Distance_Miles,Weight_Lbs,Transport_Mode,Carrier,Lead_Time_Days,Fuel_Surcharge_Rate,Is_Urgent,Actual_Price_USD,Predicted_Price_USD
SHP100000,Houston,Miami,1691.0,10752.0,Truckload,UPS,9,0.19,0,4830.69,4845.673100000003
SHP100001,Atlanta,Houston,1798.0,8478.0,Truckload,USPS,13,0.36,0,4811.85,4907.806099999999
SHP100002,Los Angeles,Houston,2218.0,9386.0,LTL,FedEx,6,0.27,0,4142.41,4187.379199999995
SHP100003,Atlanta,Chicago,1731.0,14891.0,LTL,USPS,6,0.3,0,3884.64,3835.219700000007
SHP100004,Atlanta,Los Angeles,2371.0,3303.0,Truckload,FedEx,4,0.42,1,5953.21,5853.407400000004
SHP100005,New York,Houston,2037.0,7470.0,LTL,DHL Express,4,0.42,0,3531.48,3583.2183999999993
SHP100006,Los Angeles,Miami,2199.0,7007.0,Air Freight,USPS,5,0.4,0,8646.42,8658.518500000004
SHP100007,Los Angeles,Atlanta,2398.0,816.0,Air Freight,FedEx,3,0.3,0,8189.79,8387.852500000006
SHP100008,Los Angeles,New York,2488.0,2731.0,Truckload,UPS,1,0.37,0,5788.21,5682.587800000003
SHP100009,Atlanta,Houston,1739.0,7760.0,LTL,DHL Express,1,0.3,0,3300.64,3370.454600000005
SHP100010,Houston,Atlanta,1843.0,7532.0,LTL,UPS,12,0.41,0,3385.99,3419.387599999999
SHP100011,Los Angeles,Houston,2285.0,5136.0,LTL,DHL Express,13,0.27,0,3896.18,3892.2908999999963
SHP100012,Miami,Houston,1653.0,8014.0,Truckload,USPS,7,0.44,0,4443.89,4518.658200000006
SHP100013,Atlanta,Chicago,1975.0,2715.0,Truckload,USPS,1,0.43,0,4626.14,4637.413800000007
SHP100014,New York,Houston,1934.0,10001.0,Air Freight,DHL Express,1,0.37,0,8508.0,8366.836800000001
SHP100015,Houston,Chicago,1778.0,7470.0,LTL,DHL Express,3,0.23,0,3862.22,3663.885799999996
SHP100016,Miami,New York,1848.0,14617.0,Air Freight,DHL Express,10,0.19,1,9452.12,9236.729299999999
SHP100017,Miami,Los Angeles,2039.0,11733.0,Air Freight,USPS,4,0.41,1,9738.35,9629.548199999988
SHP100018,New York,Los Angeles,2569.0,11057.0,LTL,FedEx,4,0.2,1,5170.04,5075.823599999994
SHP100019,Houston,Los Angeles,2386.0,3563.0,Air Freight,UPS,2,0.41,0,8777.44,8743.139599999984
SHP100020,Atlanta,Miami,1620.0,545.0,LTL,UPS,1,0.3,0,2574.53,2571.3528
SHP100021,Chicago,Atlanta,1935.0,13385.0,LTL,USPS,3,0.27,0,4090.49,4043.397699999996
SHP100022,Houston,Miami,1622.0,11422.0,Truckload,UPS,11,0.42,0,4885.09,4960.751200000006
SHP100023,New York,Los Angeles,2567.0,5872.0,LTL,DHL Express,4,0.33,0,4468.34,4320.235599999995
SHP100024,Miami,Houston,1707.0,14887.0,Truckload,FedEx,3,0.32,0,5400.07,5388.901700000001
SHP100025,Atlanta,Los Angeles,2398.0,12172.0,Truckload,UPS,8,0.32,0,6371.24,6463.852300000003
SHP100026,Houston,Atlanta,1942.0,2122.0,Truckload,FedEx,10,0.26,0,4355.78,4407.610500000007
SHP100027,Chicago,New York,2086.0,14673.0,LTL,DHL Express,1,0.39,1,4752.33,4659.468300000002
SHP100028,Chicago,Atlanta,1819.0,7845.0,Truckload,UPS,2,0.23,0,4819.96,4788.672000000008
SHP100029,Los Angeles,Chicago,2439.0,8579.0,Truckload,USPS,13,0.43,1,6632.96,6337.120900000001
SHP100030,Los Angeles,Atlanta,2445.0,3999.0,Truckload,FedEx,7,0.42,0,5740.19,5706.2881
SHP100031,New York,Chicago,1875.0,6083.0,LTL,DHL Express,4,0.25,0,3442.74,3428.002699999996
SHP100032,Houston,New York,1921.0,11350.0,LTL,FedEx,8,0.37,0,3869.72,3869.143299999994
SHP100033,Houston,Miami,1935.0,7470.0,Truckload,UPS,11,0.32,0,4431.46,4546.477800000005
SHP100034,Miami,Los Angeles,1935.0,8378.0,LTL,UPS,13,0.25,1,4048.13,4032.6912000000034
SHP100035,Miami,Houston,1612.0,2605.0,Truckload,USPS,3,0.45,1,4372.02,4330.691700000001
SHP100036,Miami,Atlanta,1633.0,6420.0,Truckload,DHL Express,6,0.16,0,4287.62,4250.360899999997
SHP100037,Los Angeles,Houston,2210.0,4465.0,Truckload,DHL Express,9,0.23,0,5201.03,5368.000800000012
SHP100038,Houston,Los Angeles,1935.0,6009.0,Truckload,USPS,1,0.31,1,6322.0,5940.999699999999
SHP100039,Houston,Chicago,1894.0,9157.0,Air Freight,USPS,1,0.31,0,8044.16,8088.522000000002
SHP100040,Chicago,Los Angeles,2212.0,13543.0,Air Freight,DHL Express,8,0.33,1,10573.87,10309.105499999996
SHP100041,Los Angeles,New York,2509.0,6043.0,Air Freight,FedEx,3,0.38,0,9525.78,9369.533400000011
SHP100042,Atlanta,Miami,1536.0,14471.0,Air Freight,FedEx,5,0.34,0,7891.11,7916.043699999993
SHP100043,Los Angeles,New York,2424.0,11780.0,LTL,USPS,1,0.33,0,4725.26,4689.642600000005
SHP100044,Atlanta,Houston,1935.0,5071.0,LTL,FedEx,5,0.17,0,3089.48,3283.3021999999987
SHP100045,Chicago,Los Angeles,2329.0,7470.0,Truckload,DHL Express,11,0.26,0,6027.97,5803.204199999994
SHP100046,New York,Miami,1817.0,2957.0,LTL,UPS,6,0.22,0,3073.12,3059.7353
SHP100047,Houston,New York,1904.0,2964.0,LTL,UPS,8,0.23,0,3187.89,3155.708600000007
SHP100048,Chicago,Atlanta,1964.0,13596.0,LTL,FedEx,13,0.32,0,3997.1,3999.4149999999954
SHP100049,Houston,Chicago,1878.0,10224.0,Truckload,USPS,3,0.21,0,5205.06,5206.324299999997
