Shipment_ID,Origin,Destination,Distance_Miles,Weight_Lbs,Transport_Mode,Carrier,Lead_Time_Days,Fuel_Surcharge_Rate,Is_Urgent,Actual_Price_USD
SHP100000,Houston,Miami,1691.0,10752.0,Truckload,UPS,9,0.19,0,4830.69
SHP100001,Atlanta,Houston,1798.0,8478.0,Truckload,USPS,13,0.36,0,4811.85
SHP100002,Los Angeles,Houston,2218.0,9386.0,LTL,FedEx,6,0.27,0,4142.41
SHP100003,Atlanta,Chicago,1731.0,14891.0,LTL,USPS,6,0.3,0,3884.64
SHP100004,Atlanta,Los Angeles,2371.0,3303.0,Truckload,FedEx,4,0.42,1,5953.21
SHP100005,New York,Houston,2037.0,,LTL,DHL Express,4,0.42,0,3531.48
SHP100006,Los Angeles,Miami,2199.0,7007.0,Air Freight,USPS,5,0.4,0,8646.42
SHP100007,Los Angeles,Atlanta,2398.0,816.0,Air Freight,FedEx,3,0.3,0,8189.79
SHP100008,Los Angeles,New York,2488.0,2731.0,Truckload,UPS,1,0.37,0,5788.21
SHP100009,Atlanta,Houston,1739.0,7760.0,LTL,DHL Express,1,0.3,0,3300.64
SHP100010,Houston,Atlanta,1843.0,7532.0,LTL,UPS,12,0.41,0,3385.99
SHP100011,Los Angeles,Houston,2285.0,5136.0,LTL,DHL Express,13,0.27,0,3896.18
SHP100012,Miami,Houston,1653.0,8014.0,Truckload,USPS,7,0.44,0,4443.89
SHP100013,Atlanta,Chicago,1975.0,2715.0,Truckload,USPS,1,0.43,0,4626.14
SHP100014,New York,Houston,1934.0,10001.0,Air Freight,DHL Express,1,0.37,0,8508.0
SHP100015,Houston,Chicago,1778.0,,LTL,DHL Express,3,0.23,0,3862.22
SHP100016,Miami,New York,1848.0,14617.0,Air Freight,DHL Express,10,0.19,1,9452.12
SHP100017,Miami,Los Angeles,2039.0,11733.0,Air Freight,USPS,4,0.41,1,9738.35
SHP100018,New York,Los Angeles,2569.0,11057.0,LTL,FedEx,4,0.2,1,5170.04
SHP100019,Houston,Los Angeles,2386.0,3563.0,Air Freight,UPS,2,0.41,0,8777.44
SHP100020,Atlanta,Miami,1620.0,545.0,LTL,UPS,1,0.3,0,2574.53
SHP100021,Chicago,Atlanta,-999.0,13385.0,LTL,USPS,3,0.27,0,4090.49
SHP100022,Houston,Miami,1622.0,11422.0,Truckload,UPS,11,0.42,0,4885.09
SHP100023,New York,Los Angeles,2567.0,5872.0,LTL,DHL Express,4,0.33,0,4468.34
SHP100024,Miami,Houston,1707.0,14887.0,Truckload,FedEx,3,0.32,0,5400.07
SHP100025,Atlanta,Los Angeles,2398.0,12172.0,Truckload,UPS,8,0.32,0,6371.24
SHP100026,Houston,Atlanta,1942.0,2122.0,Truckload,FedEx,10,0.26,0,4355.78
SHP100027,Chicago,New York,2086.0,14673.0,LTL,DHL Express,1,0.39,1,4752.33
SHP100028,Chicago,Atlanta,1819.0,7845.0,Truckload,UPS,2,0.23,0,4819.96
SHP100029,Los Angeles,Chicago,2439.0,8579.0,Truckload,USPS,13,0.43,1,6632.96
SHP100030,Los Angeles,Atlanta,2445.0,3999.0,Truckload,FedEx,7,0.42,0,5740.19
SHP100031,New York,Chicago,1875.0,6083.0,LTL,DHL Express,4,0.25,0,3442.74
SHP100032,Houston,New York,1921.0,11350.0,LTL,FedEx,8,0.37,0,3869.72
SHP100033,Houston,Miami,-999.0,,Truckload,UPS,11,0.32,0,4431.46
SHP100034,Miami,Los Angeles,-999.0,8378.0,LTL,UPS,13,0.25,1,4048.13
SHP100035,Miami,Houston,1612.0,2605.0,Truckload,USPS,3,0.45,1,4372.02
SHP100036,Miami,Atlanta,1633.0,6420.0,Truckload,DHL Express,6,0.16,0,4287.62
SHP100037,Los Angeles,Houston,2210.0,4465.0,Truckload,DHL Express,9,0.23,0,5201.03
SHP100038,Houston,Los Angeles,-999.0,6009.0,Truckload,USPS,1,0.31,1,6322.0
SHP100039,Houston,Chicago,1894.0,9157.0,Air Freight,USPS,1,0.31,0,8044.16
SHP100040,Chicago,Los Angeles,2212.0,13543.0,Air Freight,DHL Express,8,0.33,1,10573.87
SHP100041,Los Angeles,New York,2509.0,6043.0,Air Freight,FedEx,3,0.38,0,9525.78
SHP100042,Atlanta,Miami,1536.0,14471.0,Air Freight,FedEx,5,0.34,0,7891.11
SHP100043,Los Angeles,New York,2424.0,11780.0,LTL,USPS,1,0.33,0,4725.26
SHP100044,Atlanta,Houston,-999.0,5071.0,LTL,FedEx,5,0.17,0,3089.48
SHP100045,Chicago,Los Angeles,2329.0,,Truckload,DHL Express,11,0.26,0,6027.97
SHP100046,New York,Miami,1817.0,2957.0,LTL,UPS,6,0.22,0,3073.12
SHP100047,Houston,New York,1904.0,2964.0,LTL,UPS,8,0.23,0,3187.89
SHP100048,Chicago,Atlanta,1964.0,13596.0,LTL,FedEx,13,0.32,0,3997.1
SHP100049,Houston,Chicago,1878.0,10224.0,Truckload,USPS,3,0.21,0,5205.06
SHP100050,Miami,Atlanta,1555.0,3920.0,Truckload,USPS,3,0.24,0,3780.33
SHP100051,New York,Chicago,2031.0,12770.0,Truckload,USPS,12,0.22,0,5710.86
SHP100052,New York,Chicago,2004.0,11809.0,Truckload,USPS,11,0.43,0,5603.5
SHP100053,Chicago,New York,2015.0,9240.0,Air Freight,USPS,11,0.43,0,8488.71
SHP100054,New York,Houston,1939.0,10389.0,LTL,FedEx,10,0.33,1,4163.93
SHP100055,Atlanta,Los Angeles,2395.0,5135.0,Air Freight,UPS,9,0.43,1,9676.16
SHP100056,New York,Chicago,1911.0,12936.0,LTL,UPS,4,0.39,0,4053.43
SHP100057,Houston,Miami,1591.0,,Air Freight,FedEx,4,0.33,0,6602.86
SHP100058,Houston,Atlanta,1903.0,445.0,Truckload,USPS,12,0.15,1,4585.79
SHP100059,Houston,Atlanta,1946.0,11840.0,LTL,FedEx,7,0.38,1,4273.27
SHP100060,Houston,New York,1988.0,12752.0,LTL,UPS,2,0.36,0,4098.3
SHP100061,Atlanta,Miami,1689.0,988.0,LTL,DHL Express,8,0.33,0,2726.78
SHP100062,Los Angeles,Houston,2217.0,9878.0,LTL,FedEx,6,0.38,0,4224.36
SHP100063,Miami,Chicago,1586.0,10966.0,LTL,USPS,3,0.3,0,3432.14
SHP100064,Chicago,Los Angeles,2326.0,,Truckload,UPS,9,0.36,0,5252.6
SHP100065,Houston,Atlanta,1928.0,4686.0,Truckload,UPS,5,0.43,0,4747.86
SHP100066,New York,Houston,1913.0,1699.0,Truckload,UPS,8,0.26,1,4770.78
SHP100067,Houston,Los Angeles,2439.0,3740.0,Air Freight,UPS,7,0.36,1,9628.24
SHP100068,New York,Chicago,1870.0,14283.0,Truckload,USPS,8,0.29,0,5650.77
SHP100069,Miami,Houston,1689.0,3485.0,Truckload,DHL Express,7,0.35,0,4073.57
SHP100070,Miami,Atlanta,1604.0,3251.0,LTL,UPS,3,0.38,0,2715.71
SHP100071,Miami,Los Angeles,2215.0,4229.0,Truckload,FedEx,2,0.16,1,5715.81
SHP100072,New York,Chicago,2040.0,12608.0,LTL,DHL Express,7,0.34,0,4166.05
SHP100073,Houston,Miami,1574.0,10533.0,Air Freight,UPS,3,0.22,0,7238.06
SHP100074,Miami,Houston,1681.0,12725.0,Air Freight,DHL Express,3,0.35,0,7995.19
SHP100075,Atlanta,Los Angeles,2457.0,8455.0,Truckload,FedEx,2,0.29,0,6278.28
SHP100076,New York,Miami,1629.0,3287.0,LTL,UPS,4,0.38,0,2853.13
SHP100077,New York,Miami,1617.0,3912.0,Air Freight,FedEx,8,0.19,0,6162.03
SHP100078,Houston,Miami,1547.0,108.0,Truckload,USPS,12,0.34,0,3322.54
SHP100079,New York,Houston,-999.0,13963.0,LTL,UPS,1,0.23,1,4368.81
SHP100080,New York,Houston,1880.0,11172.0,LTL,UPS,1,0.41,1,4255.38
SHP100081,Miami,New York,1851.0,4988.0,Truckload,UPS,12,0.43,1,5058.78
SHP100082,Houston,Atlanta,1978.0,3021.0,LTL,UPS,5,0.45,0,3300.0
SHP100083,Miami,Chicago,1582.0,9769.0,Air Freight,USPS,11,0.39,0,7169.46
SHP100084,Miami,Atlanta,1729.0,14067.0,LTL,UPS,5,0.38,0,3796.76
SHP100085,Houston,New York,1858.0,8364.0,LTL,DHL Express,11,0.21,1,3917.76
SHP100086,Chicago,New York,-999.0,11961.0,Air Freight,UPS,12,0.25,0,8420.17
SHP100087,Miami,New York,1703.0,9678.0,LTL,USPS,1,0.29,0,3425.59
SHP100088,Atlanta,Los Angeles,2363.0,9404.0,Truckload,UPS,6,0.38,0,6096.25
SHP100089,Atlanta,Miami,1627.0,11542.0,LTL,DHL Express,1,0.42,0,3393.69
SHP100090,New York,Chicago,1878.0,3395.0,LTL,USPS,5,0.21,0,3095.03
SHP100091,Atlanta,Chicago,1975.0,2536.0,Truckload,USPS,9,0.43,0,4500.41
SHP100092,New York,Chicago,1929.0,611.0,Truckload,DHL Express,12,0.36,0,4217.19
SHP100093,Chicago,New York,1885.0,4031.0,Truckload,DHL Express,5,0.33,0,4530.74
SHP100094,Houston,Chicago,-999.0,6311.0,Truckload,DHL Express,6,0.21,1,5043.48
SHP100095,Houston,New York,1958.0,1787.0,Truckload,DHL Express,8,0.17,0,4363.83
SHP100096,Houston,Miami,-999.0,9146.0,LTL,DHL Express,11,0.32,0,3243.57
SHP100097,Atlanta,Los Angeles,-999.0,3604.0,LTL,USPS,1,0.35,0,3783.77
SHP100098,Chicago,Houston,1815.0,12732.0,Air Freight,USPS,2,0.21,1,9115.6
SHP100099,Atlanta,Los Angeles,2280.0,9968.0,Truckload,UPS,9,0.32,0,5975.64
SHP100100,Atlanta,Los Angeles,2360.0,11165.0,Truckload,UPS,3,0.41,1,6772.83
SHP100101,Chicago,Los Angeles,2378.0,11773.0,LTL,FedEx,6,0.4,0,4630.52
SHP100102,Chicago,Atlanta,1961.0,12148.0,LTL,UPS,5,0.43,1,4411.58
SHP100103,Chicago,Miami,1582.0,14054.0,Truckload,UPS,11,0.26,1,5440.9
SHP100104,Chicago,New York,1929.0,9176.0,Air Freight,DHL Express,2,0.25,0,8152.01
SHP100105,Houston,Atlanta,1831.0,13439.0,Truckload,DHL Express,7,0.37,0,5465.94
SHP100106,Los Angeles,Houston,2365.0,7145.0,Air Freight,UPS,4,0.28,0,9109.69
SHP100107,Los Angeles,Atlanta,2385.0,13773.0,Truckload,FedEx,1,0.18,0,6652.64
SHP100108,Chicago,Miami,1655.0,8316.0,LTL,DHL Express,13,0.23,0,3183.75
SHP100109,Los Angeles,Chicago,2368.0,344.0,LTL,UPS,4,0.28,0,3690.78
SHP100110,Los Angeles,Chicago,2223.0,8262.0,LTL,UPS,6,0.24,0,4002.88
SHP100111,Chicago,Miami,1606.0,11484.0,LTL,USPS,7,0.25,0,3384.56
SHP100112,Los Angeles,Miami,2194.0,9280.0,Air Freight,FedEx,7,0.24,0,8922.95
SHP100113,Atlanta,Los Angeles,2458.0,5380.0,LTL,USPS,7,0.16,0,4096.31
SHP100114,New York,Chicago,1922.0,4705.0,Truckload,FedEx,3,0.34,0,4659.63
SHP100115,New York,Atlanta,2098.0,1159.0,LTL,DHL Express,6,0.33,0,3365.64
SHP100116,Chicago,Los Angeles,2300.0,13510.0,LTL,FedEx,13,0.35,0,4539.38
SHP100117,Houston,New York,2065.0,3821.0,LTL,UPS,8,0.21,0,3457.52
SHP100118,Chicago,Miami,1694.0,8613.0,LTL,UPS,4,0.24,1,3656.21
SHP100119,Houston,Los Angeles,2299.0,6173.0,Truckload,FedEx,13,0.34,0,5515.42
SHP100120,New York,Los Angeles,2358.0,7697.0,LTL,FedEx,8,0.33,0,4203.29
SHP100121,Chicago,New York,2028.0,13155.0,Truckload,FedEx,2,0.3,0,5897.16
SHP100122,Miami,Atlanta,1538.0,1224.0,LTL,USPS,10,0.26,1,2775.67
SHP100123,Atlanta,Houston,1900.0,1214.0,LTL,FedEx,9,0.42,1,3427.53
SHP100124,Los Angeles,Miami,2189.0,9334.0,LTL,DHL Express,9,0.25,1,4387.53
SHP100125,Houston,Atlanta,1949.0,9525.0,Truckload,USPS,8,0.29,0,5236.74
SHP100126,Miami,Atlanta,1561.0,10253.0,Truckload,USPS,10,0.35,0,4579.05
SHP100127,Los Angeles,Miami,2184.0,9087.0,LTL,FedEx,13,0.31,0,4010.91
SHP100128,Los Angeles,Miami,-999.0,10233.0,LTL,DHL Express,10,0.25,0,4145.83
SHP100129,Chicago,Atlanta,1862.0,8762.0,Truckload,USPS,1,0.28,1,5518.44
SHP100130,Los Angeles,Atlanta,2251.0,4516.0,LTL,UPS,2,0.39,0,3849.05
SHP100131,Atlanta,Miami,1624.0,5588.0,LTL,USPS,6,0.23,0,2860.71
SHP100132,Miami,New York,1651.0,12438.0,Air Freight,FedEx,10,0.19,0,7677.04
SHP100133,Los Angeles,Houston,2373.0,12998.0,Truckload,DHL Express,5,0.24,1,7032.88
SHP100134,Chicago,Houston,1834.0,14019.0,LTL,FedEx,12,0.4,0,3997.49
SHP100135,Atlanta,Los Angeles,2236.0,7161.0,Air Freight,UPS,9,0.18,0,8662.4
SHP100136,New York,Atlanta,-999.0,8484.0,Truckload,UPS,5,0.45,0,5111.44
SHP100137,Miami,Houston,1535.0,2850.0,LTL,UPS,2,0.31,0,2669.01
SHP100138,Los Angeles,New York,2395.0,4657.0,Truckload,FedEx,10,0.45,0,5680.63
SHP100139,Chicago,Houston,1754.0,11138.0,Truckload,USPS,4,0.43,1,5509.23
SHP100140,New York,Houston,1922.0,10844.0,LTL,FedEx,9,0.29,0,3777.55
SHP100141,New York,Miami,1726.0,7312.0,LTL,DHL Express,1,0.21,0,3259.69
SHP100142,Houston,Atlanta,1884.0,10515.0,LTL,USPS,11,0.2,0,3739.64
SHP100143,Atlanta,Los Angeles,2338.0,1591.0,Truckload,UPS,1,0.22,0,5301.36
SHP100144,Los Angeles,New York,2416.0,14599.0,LTL,FedEx,12,0.36,1,5172.86
SHP100145,Chicago,Los Angeles,2283.0,2815.0,Air Freight,UPS,7,0.23,0,8069.1
SHP100146,Houston,Los Angeles,2379.0,10356.0,Truckload,UPS,11,0.25,0,6210.34
SHP100147,Atlanta,Houston,1909.0,4541.0,LTL,DHL Express,3,0.28,1,3731.77
SHP100148,Houston,New York,2002.0,12949.0,Truckload,USPS,10,0.42,0,5776.81
SHP100149,Miami,Atlanta,1671.0,3133.0,LTL,DHL Express,2,0.21,0,2814.79
SHP100150,Atlanta,New York,1974.0,5406.0,Truckload,DHL Express,9,0.15,0,4844.8
SHP100151,Atlanta,Chicago,1796.0,,Truckload,DHL Express,3,0.17,0,4125.92
SHP100152,Los Angeles,Chicago,2215.0,819.0,LTL,UPS,2,0.42,0,3455.1
SHP100153,Atlanta,Houston,1854.0,1472.0,LTL,DHL Express,12,0.34,0,2981.22
SHP100154,Houston,Los Angeles,-999.0,8648.0,LTL,DHL Express,8,0.23,0,4179.87
SHP100155,Atlanta,Houston,1799.0,,LTL,USPS,10,0.2,0,3043.5
SHP100156,Los Angeles,Atlanta,2262.0,1922.0,LTL,USPS,6,0.24,0,3598.67
SHP100157,Los Angeles,Atlanta,2275.0,,LTL,DHL Express,6,0.18,0,3890.56
SHP100158,Miami,Houston,1547.0,10936.0,Air Freight,USPS,10,0.43,1,8094.09
SHP100159,Houston,Miami,1739.0,2319.0,LTL,USPS,11,0.39,0,2825.61
SHP100160,New York,Miami,1691.0,5325.0,LTL,DHL Express,7,0.29,0,3070.69
SHP100161,New York,Los Angeles,2416.0,4799.0,Truckload,UPS,7,0.41,0,5656.12
SHP100162,Atlanta,Chicago,1731.0,6621.0,LTL,DHL Express,11,0.22,0,3226.57
SHP100163,Miami,Houston,1693.0,9423.0,Air Freight,USPS,13,0.37,0,7397.31
SHP100164,Chicago,Los Angeles,2359.0,5122.0,Truckload,UPS,6,0.41,0,5702.32
SHP100165,Atlanta,Chicago,1766.0,9681.0,Truckload,FedEx,4,0.26,0,4946.17
SHP100166,Miami,Los Angeles,2117.0,11295.0,LTL,UPS,11,0.38,0,4089.21
SHP100167,Houston,Miami,1592.0,14756.0,LTL,USPS,9,0.24,0,3705.99
SHP100168,Houston,Chicago,1753.0,5513.0,LTL,UPS,6,0.24,1,3570.7
